CustomerMenu,CustMaint,1,JMenuItem,客户维护,,,,1,1
CustomerMenu,CustReport1,2,JMenuItem,客户浏览,,1,,1,1
CustomerMenu,CustXrefMaint,3,JMenuItem,客户外部参照维护,,,,1,1
CustomerMenu,CustXrefBrowse,4,JMenuItem,客户外部参照浏览,,,,1,1
CustomerMenu,CustPriceMaint,5,JMenuItem,客户价格维护,,,,1,1
CustomerMenu,CustPriceReport,6,JMenuItem,客户价格浏览,,,,1,1
CustomerMenu,CusRptPicker,7,JMenuItem,客户报告选择器,,,,1,1
CustomerMenu,CustomerReports,8,JMenu,其他客户报告,,,,1,1
CustomerMenu,CustControl,9,JMenuItem,客户控制,,,,1,1
地址,CustomerMenu,1,JMenu,顾客菜单,,,,1,1
地址,VendorMenu,2,JMenu,供应商菜单,,,,1,1
地址,EDIMenu,3,JMenu,EDI 菜单,,,,1,1
地址,LabelMenu,4,JMenu,标签菜单,,,,1,1
地址,CarrierMaint,5,JMenuItem,运营商维护,,,,1,1
地址,CarrierBrowse,6,JMenuItem,运营商浏览,,1,,1,1
地址,TermsMaint,7,JMenuItem,条款维护,,,,1,1
地址,TermsBrowse,8,JMenuItem,条款浏览,,1,,1,1
地址,TaxMaint,9,JMenuItem,税务维持,,,,1,1
地址,TaxBrowse,10,JMenuItem,税务浏览,,1,,1,1
CustomerReports,chart_sales,1,JMenuItem,图表报告,,1,,1,1
VendorMenu,VendMaint,1,JMenuItem,供应商维护,,,,1,1
VendorMenu,VendBrowse,2,JMenuItem,供应商浏览,,1,,1,1
VendorMenu,VendXrefMaint,3,JMenuItem,供应商外部参照维护,,,,1,1
VendorMenu,VendXrefRpt1,4,JMenuItem,供应商外部参照浏览,,,,1,1
VendorMenu,VendPriceMaint,5,JMenuItem,供应商价格维护,,,,1,1
VendorMenu,VendPriceRpt1,6,JMenuItem,供应商价格浏览,,,,1,1
VendorMenu,VenRptPicker,7,JMenuItem,供应商报告选择器,,,,1,1
VendorMenu,VendControl,8,JMenuItem,供应商控制,,,,1,1
运费,CFOMaint,1,JMenuItem,货运订单维护,,,,1,1
运费,CFOBrowse,2,JMenuItem,货运订单报告,,,,1,1
运费,CFODriverWindow,3,JMenuItem,订单/司机时间表,,,,1,1
运费,VehicleMaint,4,JMenuItem,车辆管理,,,,1,1
运费,VehicleBrowse,5,JMenuItem,车辆浏览,,1,,1,1
运费,DriverMaint,6,JMenuItem,司机管理,,,,1,1
运费,DriverBrowse,7,JMenuItem,驱动程序浏览,,1,,1,1
运费,BrokerMaint,8,JMenuItem,经纪商管理,,,,1,1
运费,BrokerBrowse,9,JMenuItem,经纪商浏览,,1,,1,1
运费,CFOControl,10,JMenuItem,货运管制,,,,1,1
EDI,EDILoad,1,JMenuItem,EDI负载,,,,1,1
EDI,EDILog,2,JMenuItem,EDI日志,,,,1,1
EDI,EDIConfMenu,3,JMenu,EDI 配置菜单,,,,1,1
EDI,EDITranMenu,4,JMenu,EDI 翻译菜单,,,,1,1
EDI,EDICommMenu,5,JMenu,EDI 通讯菜单,,,,1,1
EDI,EDIWkflMenu,6,JMenu,EDI 工作流程菜单,,,,1,1
EDI,EDIExport,7,JMenuItem,EDI出口,,,,1,1
EDI,EDIControl,8,JMenuItem,电子数据交换控制,,,,1,1
EDIConfMenu,EDIPartnerMaint,1,JMenuItem,EDI 合作伙伴维护,,,,1,1
EDIConfMenu,EDIPartnerBrowse,2,JMenuItem,EDI 合作伙伴浏览,,1,,1,1
EDIConfMenu,EDIPartnerDocMaint,3,JMenuItem,合作伙伴交易维护,,,,1,1
EDIConfMenu,EDIPartnerDocBrowse,4,JMenuItem,EDI 合作伙伴交易浏览,,1,,1,1
EDIConfMenu,EDIDocumentMaint,5,JMenuItem,文档识别维护,,,,1,1
EDIConfMenu,EDIXrefMaint,6,JMenuItem,EDI 外部参照维护,,,,1,1
EDIConfMenu,EDIXrefBrowse,7,JMenuItem,EDI 外部参照浏览,,1,,1,1
EDITranMenu,MapMaint,1,JMenuItem,地图维护,,,,1,1
EDITranMenu,StructMaint,2,JMenuItem,结构文件维护,,,,1,1
EDIWkflMenu,WorkFlowMaint,1,JMenuItem,工作流程维护,,,,1,1
EDIWkflMenu,WorkFlowBrowse,2,JMenuItem,工作流程浏览,,1,,1,1
EDIWkflMenu,WorkFlowLog,3,JMenuItem,工作流程日志,,1,,1,1
EDIWkflMenu,EDIUtilities,4,JMenuItem,电子数据交换实用程序,,,,1,1
EDICommMenu,APIMaint,1,JMenuItem,接口维护,,,,1,1
EDICommMenu,APIBrowse,2,JMenuItem,接口浏览,,,,1,1
EDICommMenu,APILog,3,JMenuItem,API日志,,,,1,1
EDICommMenu,AS2Maint,4,JMenuItem,AS2维护,,,,1,1
