1300,Expédition,90000000,90000000,90000000,90000000,90000000,90000000,90000000
2200,Finance,90000000,90000000,90000000,90000000,90000000,90000000,90000000
3100,Emballage,90000000,90000000,90000000,90000000,90000000,90000000,90000000
4500,Qualité,90000000,90000000,90000000,90000000,90000000,90000000,90000000
5000,Maintenance,90000000,90000000,90000000,90000000,90000000,90000000,90000000
6000,Admin,90000000,90000000,90000000,90000000,90000000,90000000,90000000
7000,Ventes,90000000,90000000,90000000,90000000,90000000,90000000,90000000
8000,Finance,90000000,90000000,90000000,90000000,90000000,90000000,90000000
9000,Technologie,90000000,90000000,90000000,90000000,90000000,90000000,90000000
9999,Production,90000000,90000000,90000000,90000000,90000000,90000000,90000000
