1300,Shipping,70070000,79001000,79002000,76001000,76002000,77001000,77002000
2200,Finance,70070000,79001000,79002000,76001000,76002000,77001000,77002000
3100,Packaging,70070000,79001000,79002000,76001000,76002000,77001000,77002000
4500,Quality,70070000,79001000,79002000,76001000,76002000,77001000,77002000
5000,Maintenance,70070000,79001000,79002000,76001000,76002000,77001000,77002000
6000,Admin,70070000,79001000,79002000,76001000,76002000,77001000,77002000
7000,Sales,70070000,79001000,79002000,76001000,76002000,77001000,77002000
8000,Finance,70070000,79001000,79002000,76001000,76002000,77001000,77002000
9000,IT,70070000,79001000,79002000,76001000,76002000,77001000,77002000
9999,Production,70070000,79001000,79002000,76001000,76002000,77001000,77002000
