2017,1,2017-01-01,2017-01-31,open
2017,2,2017-02-01,2017-02-28,open
2017,3,2017-03-01,2017-03-31,open
2017,4,2017-04-01,2017-04-30,open
2017,5,2017-05-01,2017-05-31,open
2017,6,2017-06-01,2017-06-30,open
2017,7,2017-07-01,2017-07-31,open
2017,8,2017-08-01,2017-08-31,open
2017,9,2017-09-01,2017-09-30,open
2017,10,2017-10-01,2017-10-31,open
2017,11,2017-11-01,2017-11-30,open
2017,12,2017-12-01,2017-12-31,open
2018,1,2018-01-01,2018-01-31,open
2018,2,2018-02-01,2018-02-28,open
2018,3,2018-03-01,2018-03-31,open
2018,4,2018-04-01,2018-04-30,open
2018,5,2018-05-01,2018-05-31,open
2018,6,2018-06-01,2018-06-30,open
2018,7,2018-07-01,2018-07-31,open
2018,8,2018-08-01,2018-08-31,open
2018,9,2018-09-01,2018-09-30,open
2018,10,2018-10-01,2018-10-31,open
2018,11,2018-11-01,2018-11-30,open
2018,12,2018-12-01,2018-12-31,open
2019,1,2019-01-01,2019-01-31,open
2019,2,2019-02-01,2019-02-28,open
2019,3,2019-03-01,2019-03-31,open
2019,4,2019-04-01,2019-04-30,open
2019,5,2019-05-01,2019-05-31,open
2019,6,2019-06-01,2019-06-30,open
2019,7,2019-07-01,2019-07-31,open
2019,8,2019-08-01,2019-08-31,open
2019,9,2019-09-01,2019-09-30,open
2019,10,2019-10-01,2019-10-31,open
2019,11,2019-11-01,2019-11-30,open
2019,12,2019-12-01,2019-12-31,open
2020,1,2020-01-01,2020-01-31,open
2020,2,2020-02-01,2020-02-28,open
2020,3,2020-03-01,2020-03-31,open
2020,4,2020-04-01,2020-04-30,open
2020,5,2020-05-01,2020-05-31,open
2020,6,2020-06-01,2020-06-30,open
2020,7,2020-07-01,2020-07-31,open
2020,8,2020-08-01,2020-08-31,open
2020,9,2020-09-01,2020-09-30,open
2020,10,2020-10-01,2020-10-31,open
2020,11,2020-11-01,2020-11-30,open
2020,12,2020-12-01,2020-12-31,open
