ACME,ACME Sample Co.,1500 Business Circle,,,Dillon,SC,29536,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
WALMART,Walmart Stores and DC,702 Sw 8th St,,,Bentonville,AR,72716,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,FEDX,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
TARGET,Target HQ,1000 Nicollet Mall,,,Minneapolis,MN,55403,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
JCPENNY,JCPenny Co.,6501 Legacy Dr,,,Plano,TX,75024,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
SEARS,Sears Holding Co.,3333 Beverly Rd,,,Hoffman Estates,IL,60179,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
OFFIDPOT,Office Depot Co.,6600 North Military Trail,,,Boca Raton,FL,33496,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
FAMYDOLL,Family Dollar Stores Co.,10401 Monroe Road,,,Matthews,NC,28105,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
DOLLGENE,Dollar General Co.,100 Mission Ridge,,,Goodlettsville,TN,37072,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
DOLLTREE,Dollar Tree Co.,1330 Executive Blvd,,,Chesapeake,VA,23320,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
AMAZON,Amazon Co.,345 Boren Ave,,,Seattle,WA,98109,USA,2015-01-01,2015-01-01,'whoever',,,100000,0,PICKUP,N30,,,,,,20000000,9999,,,BK,USD,,,,,generic
