10000000,BARGELD-ALLGEMEINES BANKABSCHLUSS,A,EUR,0
13000000,ECHTER GEWINN/VERLUST IN FREMDWÄHRUNG,A,EUR,0
19010000,INVENTAR,A,EUR,0
19050000,MATERIALVARIANZ,A,EUR,0
20000000,A/R,A,EUR,0
20001000,NICHT VERWENDETES BARGELD,A,EUR,0
30000000,AP-HANDEL,L,EUR,0
32000000,RÜCKNAHME RECHNUNGEN,L,EUR,0
34000000,AP-Umsatzsteuer Sonstiges,L,EUR,0
34001000,AP-UMSATZSTEUER Federal,L,EUR,0
34002000,AP-UMSATZSTEUER-Staat,L,EUR,0
34003000,AP-Umsatzsteuer Lokal,L,EUR,0
35000000,EINBEHALTUNGSZAHLUNG,L,EUR,0
40000000,GEWINNRÜCKLAGEN,O,EUR,0
50000000,UMSATZERLÖSE,I,EUR,1
50001000,ZINSERTRAG,I,EUR,1
50002000,SPENDEN,I,EUR,1
50003000,ANDERES EINKOMMEN,I,EUR,1
50004000,RÜCKGABEN UND ZULAGEN,I,EUR,0
50005000,VERKAUFSRABATTE,I,EUR,0
55000000,VERKAUFSEINKOMMEN,I,EUR,0
62000000,ZAHNRADMATERIAL,E,EUR,0
62001000,ZAHNLASTEN,E,EUR,0
62002000,ZAHNARBEITEN,E,EUR,0
62003000,ZÄHNE ÜBERKOPF,E,EUR,0
62005000,ZAHNRADSERVICE,E,EUR,0
65000000,INVENTAR-ANPASSUNGEN,E,EUR,0
70001000,GEHALTSKOSTEN,E,EUR,0
70002000,DIREKTE ARBEITSKOSTEN,E,EUR,0
70003000,LOHNSTEUERAUFWAND,E,EUR,0
80000000,PURCHASES,E,EUR,0
90000000,KOSTEN ALLGEMEIN,E,EUR,1
90000700,EXPENSE SHIPPING,E,USD,1
