10000000,CUENTA BANCARIA GENERAL DE EFECTIVO,A,USD,0
13000000,GANANCIA / P�RDIDA REAL EN MONEDA EXTRANJERA,A,USD,0
19010000,INVENTARIO,A,USD,0
19050000,VARIENCIA DE MATERIALES,A,USD,0
20000000,CUENTAS POR COBRAR,A,USD,0
20001000,DINERO NO APLICADO,A,USD,0
30000000,AP TRADE,L,USD,0
32000000,RECIBOS DESVOCADOS,L,USD,0
34000000,IMPUESTO SOBRE VENTAS AP Otro,L,USD,0
34001000,AP IMPUESTO SOBRE VENTAS Federal,L,USD,0
34002000,Estado de IMPUESTO SOBRE VENTAS AP,L,USD,0
34003000,IMPUESTO SOBRE VENTAS AP Local,L,USD,0
35000000,RETENCIONES A PAGAR,L,USD,0
40000000,GANANCIAS RETENIDAS,O,USD,0
50000000,INGRESOS POR VENTAS,I,USD,1
50001000,INGRESOS POR INTERESES,I,USD,1
50002000,Donaciones,I,USD,1
50003000,OTROS INGRESOS,I,USD,1
50004000,DEVOLUCIONES Y DOTACIONES,I,USD,0
50005000,DESCUENTOS DE VENTAS,I,USD,0
55000000,INGRESOS POR VENTAS DE ACTIVOS,I,USD,0
62000000,MATERIAL COGS,E,USD,0
62001000,CARGA COGS,E,USD,0
62002000,LABOR COGS,E,USD,0
62003000,GASTOS GENERALES COGS,E,USD,0
62005000,SERVICIO COGS,E,USD,0
65000000,AJUSTES DE INVENTARIO,E,USD,0
70001000,GASTOS SALARADOS,E,USD,0
70002000,GASTO LABORAL DIRECTO,E,USD,0
70003000,GASTOS DE IMPUESTOS DE N�MINA,E,USD,0
90000000,GASTO GEN�RICO,E,USD,1
