ACME,850une,UNE,999999999,0,bsUNEordersToIDOC,ZZ,999999999,BLUESEER,ZZ,BLUESEER,43,39,58,850une,txt,,D97,,850idoc,FF,UNEorders,IDOCorders05,0,0,0,0
ACME,850x12,X12,999999999,0,bs850ToIDOC,ZZ,999999999,BLUESEER,ZZ,BLUESEER,42,10,126,850x12,txt,,004010,,850idoc,FF,X12850,IDOCorders05,0,0,0,0
ACME,204x12,X12,999999999,0,bs204ToDB,ZZ,999999999,BLUESEER,ZZ,BLUESEER,42,10,126,204x12,txt,,004010,,204db,DB,X12204,DB,0,0,0,0
ACME,810x12,X12,999999999,0,bs810ToDB,ZZ,999999999,BLUESEER,ZZ,BLUESEER,42,10,126,810x12,txt,,004010,,810db,DB,X12810,DB,0,0,0,0
ACME,990db,DB,BLUESEER,0,bsDBTo990,ZZ,BLUESEER,999999999,ZZ,999999999,42,10,126,990db,txt,,004010,,990x12,X12,DB,X12990,0,0,0,0
ACME,856idoc,FF,BLUESEER,0,bsIDOCTo856,ZZ,BLUESEER,999999999,ZZ,999999999,42,10,126,856idoc,txt,,004010,,856x12,X12,IDOCshpmnt02,X12856,0,0,0,0
ACME,810idoc,FF,BLUESEER,0,bsIDOCTo810,ZZ,BLUESEER,999999999,ZZ,999999999,42,10,126,810idoc,txt,,004010,,810x12,X12,IDOCinvoic02,X12810,0,0,0,0
ACME,810csv,CSV,ACME,0,bsCSVTo810,ZZ,ACME,BLUESEER,ZZ,BLUESEER,42,10,126,810csv,txt,,004010,,810x12,X12,CSVGenericInvoice,X12810,0,0,0,0
ACME,850csv,CSV,ACME,0,bsCSVTo850,ZZ,ACME,BLUESEER,ZZ,BLUESEER,42,10,126,850csv,txt,,004010,,850x12,X12,CSVGenericOrder,X12850,0,0,0,0
ACME,850csv,CSV,ACME,0,bsCSVToD365XML,ZZ,ACME,BLUESEER,ZZ,BLUESEER,42,10,126,850csv,txt,,004010,,850xml,XML,CSVD365Order,XMLD365OrderV2,0,0,0,0
ACME,850idoc,FF,BLUESEER,0,bsIDOCToUNEorders,ZZ,BLUESEER,999999999,ZZ,999999999,43,39,58,850idoc,txt,,004010,,850une,UNE,IDOCorders05,UNEorders,0,0,0,0
ACME,850json,JSON,999999999,0,bsJSONTo850,ZZ,999999999,BLUESEER,ZZ,BLUESEER,42,10,126,850json,txt,,004010,,850x12,X12,JSONGenericOrder,X12850,0,0,0,0
ACME,850xml,XML,999999999,0,bsXMLTo850,ZZ,999999999,BLUESEER,ZZ,BLUESEER,42,10,126,850xml,txt,,004010,,850x12,X12,XMLGenericOrder,X12850,0,0,0,0
