1300,Shipping,90000000,90000000,90000000,90000000,90000000,90000000,90000000
2200,Finance,90000000,90000000,90000000,90000000,90000000,90000000,90000000
3100,Packaging,90000000,90000000,90000000,90000000,90000000,90000000,90000000
4500,Quality,90000000,90000000,90000000,90000000,90000000,90000000,90000000
5000,Maintenance,90000000,90000000,90000000,90000000,90000000,90000000,90000000
6000,Admin,90000000,90000000,90000000,90000000,90000000,90000000,90000000
7000,Sales,90000000,90000000,90000000,90000000,90000000,90000000,90000000
8000,Finance,90000000,90000000,90000000,90000000,90000000,90000000,90000000
9000,IT,90000000,90000000,90000000,90000000,90000000,90000000,90000000
9999,Production,80003000,70001000,70001001,70001002,90000000,90000000,70001003
